model,series_id,category,strategy,sMAPE,MAPE,RMSE,MSE,MAE,MASE
dlinear,T121,monthly,pretrain_finetune,8.547617421647404,9.116224354523077,880.9474185831639,776068.3543083402,701.5938585069445,0.5834149356454336
dlinear,T121,monthly,from_scratch,10.629658840888569,10.722443811506157,1048.748064923746,1099872.503681302,878.8587510850695,0.7308207098575205
dlinear,T125,monthly,pretrain_finetune,10.658480207709816,11.3203873249842,777.6966215735333,604812.0352068874,655.7682020399305,0.7014525474371172
dlinear,T125,monthly,from_scratch,15.55272337719886,15.091709511929816,1000.4818033875212,1000963.8389095464,908.6737738715278,0.971976883735315
dlinear,T133,monthly,pretrain_finetune,18.60682320968807,22.103152144590545,586.3844774789895,343846.7554283076,445.9072536892361,0.8592086410019865
dlinear,T133,monthly,from_scratch,25.26421800938533,32.036341656044726,820.9873297664933,674020.1956371168,651.4176296657986,1.2552019543955604
dlinear,T182,monthly,pretrain_finetune,34.47569220492587,47.622859172045146,1136.285382955009,1291144.4715172118,972.9445529513888,0.7443083084563392
dlinear,T182,monthly,from_scratch,37.790653058679545,58.33425738875708,1456.9138637702054,2122598.0064458284,1153.9957004123264,0.8828135016885197
dlinear,T260,monthly,pretrain_finetune,69.27863973765939,129.49438562251214,2234.6019868445305,4993446.039609523,1729.6900295681423,1.0789813044331025
dlinear,T260,monthly,from_scratch,69.64542105438503,101.30783072560747,2013.5958196846984,4054568.125051692,1480.870090060764,0.923767330652108
dlinear,T284,monthly,pretrain_finetune,20.18882584204457,24.147648609517447,510.92641834197366,261045.80495975743,422.8211398654514,0.8905403560132368
dlinear,T284,monthly,from_scratch,19.60962905280349,22.961594146429366,496.6697194674807,246680.810235906,403.56902398003473,0.8499918012743162
dlinear,T527,monthly,pretrain_finetune,4.15429312949601,4.0766189779708615,269.30276170117725,72523.97745988105,225.466796875,0.4591335579963202
dlinear,T527,monthly,from_scratch,4.677952870234512,4.588602384025979,322.7414583517322,104162.04893900288,256.79473198784723,0.5229287886573288
