model,series_id,category,strategy,sMAPE,MAPE,RMSE,MSE,MAE,MASE
dlinear,D362,daily,pretrain_finetune,1.0311534625533036,1.0341119882236853,84.5692593347858,7151.959624434256,74.42723632812502,0.650954762858711
dlinear,D362,daily,from_scratch,1.358630124594702,1.3665410202308674,103.64850788174844,10743.01318611287,98.22908203125,0.8591302318089454
dlinear,D375,daily,pretrain_finetune,1.1962088435715656,1.2048416578648782,101.17419646320532,10236.218029975267,91.86241768973215,0.6250694517090648
dlinear,D375,daily,from_scratch,0.6491656444839067,0.6484771779965035,66.30850762231992,4396.81818309926,49.88276785714288,0.3394227491323691
dlinear,D397,daily,pretrain_finetune,1.590700949486902,1.574702218119189,137.6935386381804,18959.51058270408,121.474775390625,0.7997390560150597
dlinear,D397,daily,from_scratch,0.8426687094892706,0.8423702294817762,76.74842446692118,5890.320658154705,64.86058733258928,0.42701494791115746
dlinear,D540,daily,pretrain_finetune,1.2576273566008214,1.2568261305483128,80.3514849464736,6456.361133103374,71.14610072544649,0.3318363461416089
dlinear,D540,daily,from_scratch,1.2354859404957472,1.2365023077829196,82.86928226729144,6867.317943496024,69.82676478794649,0.32568276059905327
dlinear,D771,daily,pretrain_finetune,3.0830386636352127,3.1432122118415666,164.72322388828826,27133.740488151136,148.21677594866074,0.8943278024701167
dlinear,D771,daily,from_scratch,3.196040835616037,3.261514511137208,171.7333991876416,29492.360396541862,153.77310267857143,0.9278542197218873
dlinear,D848,daily,pretrain_finetune,1.692072467295846,1.6848818464659858,29.817956024489284,889.1105014783768,22.002839355468772,0.5984238466302528
dlinear,D848,daily,from_scratch,1.8683820603650325,1.8542599962018176,31.08428533224006,966.2327946161146,24.277916085379484,0.6603004138358284
dlinear,D1565,daily,pretrain_finetune,1.3593036863845187,1.3545219881988544,20.626615594026333,425.45727086373023,18.64545654296871,0.7212966555337157
dlinear,D1565,daily,from_scratch,1.361325591610255,1.3563085013888054,20.771280134608084,431.44607843036437,18.6735065569196,0.7223817660647357
dlinear,D1700,daily,pretrain_finetune,3.487560404461791,3.5692332604326373,60.983597178837925,3718.999124870769,53.39703369140625,1.0358847494012007
dlinear,D1700,daily,from_scratch,2.5029469089075107,2.545642723041124,45.990575173945714,2115.133004830352,38.054678780691965,0.7382481510133886
dlinear,D1820,daily,pretrain_finetune,2.6076644197889456,2.580261550542035,199.99230164306343,39996.920716490065,175.9150390625,0.7397833569576301
dlinear,D1820,daily,from_scratch,2.4513337169927043,2.4270554785818956,188.72023402262167,35615.32672955309,165.46083286830358,0.695819817547437
dlinear,D1844,daily,pretrain_finetune,0.6869209000175908,0.6895276685201879,25.999330149133197,675.9651682036264,20.602399553571427,0.5036787855127947
dlinear,D1844,daily,from_scratch,1.3308035034698977,1.3246374640913385,43.31644129411067,1876.3140863861356,39.75160435267857,0.9718304778275908
dlinear,D1875,daily,pretrain_finetune,3.677984199366625,3.6016522490862584,116.14477908090163,13489.609707751444,107.97588239397321,1.5027736074968139
dlinear,D1875,daily,from_scratch,2.2605264371052303,2.227510153030939,76.69650773944065,5882.354299426079,66.83133370535714,0.9301370104091754
dlinear,D1900,daily,pretrain_finetune,6.820398345575127,6.570615603577902,867.8103705359997,753094.8392098291,818.1887555803571,3.692799681616482
dlinear,D1900,daily,from_scratch,4.41613971721345,4.331862922579991,567.4501511871146,321999.6740822792,536.0934012276786,2.419595145824314
dlinear,D2111,daily,pretrain_finetune,1.5816734501898015,1.5961496165852196,119.31459193646305,14235.971848964691,109.06361607142857,0.8607567300175885
dlinear,D2111,daily,from_scratch,2.279045850651751,2.308823707060097,167.97012505297351,28213.962910311562,157.96658761160714,1.2467109408471573
dlinear,D2163,daily,pretrain_finetune,1.0707225342284907,1.0780215462998632,13.501066979403356,182.27880958233567,11.87751813616072,0.47618315058167165
dlinear,D2163,daily,from_scratch,1.4856859807413838,1.5002921749005331,18.9816224741779,360.30199175221554,16.562632533482137,0.6640146915632794
dlinear,D2216,daily,pretrain_finetune,1.1511531991706425,1.1435683088470159,26.153966318183382,684.0299541726708,23.437351771763392,0.5795331287454408
dlinear,D2216,daily,from_scratch,1.463592031379953,1.4542642445907739,32.53454828964441,1058.496832411204,29.727347237723215,0.7350652378198983
dlinear,D2305,daily,pretrain_finetune,1.9909907763787316,1.9844085258940485,173.74026094543447,30185.67827338766,153.37885044642866,0.4599551934989656
dlinear,D2305,daily,from_scratch,2.0607620389657244,2.052256515583139,181.278058099316,32861.73434825899,158.72246093750007,0.47597970659350275
dlinear,D2720,daily,pretrain_finetune,0.35306254174463636,0.3530467561617386,68.29717603150132,4664.504253877878,56.33789062499987,0.3085993535831484
dlinear,D2720,daily,from_scratch,0.771351744576748,0.7676428132746138,137.37067430023674,18870.702157701722,122.67296316964283,0.6719597896958223
dlinear,D2750,daily,pretrain_finetune,3.220809507802408,3.2981070574898923,371.4019645708765,137939.41928710658,308.62791573660706,1.6222860359011306
dlinear,D2750,daily,from_scratch,3.077917254757284,3.149893358937845,357.92436372991983,128109.85015146794,294.64381975446423,1.5487793876694373
dlinear,D2933,daily,pretrain_finetune,2.171903767894167,2.1399337817348254,350.92423573343564,123147.81922509591,298.2845005580357,1.4481343455941584
dlinear,D2933,daily,from_scratch,2.1621476533143817,2.1305242773472814,348.9924410998469,121795.72394483011,296.95302734374997,1.4416702078724914
dlinear,D3023,daily,pretrain_finetune,0.830886407007195,0.829058483148468,26.7864744076139,717.5152111897543,22.684604492187482,0.3388975916969292
dlinear,D3023,daily,from_scratch,1.6978219887187487,1.677758657877747,54.5779547419412,2978.7531438133815,45.9912974330357,0.6870888996297403
dlinear,D3098,daily,pretrain_finetune,3.5858560058695454,3.5030283822114665,71.44135822027643,5103.867664357858,62.03537876674108,1.4905477029114944
dlinear,D3098,daily,from_scratch,4.146958369983189,4.043078395896504,79.83858898230525,6374.200290685474,71.48686453683037,1.7176421558474402
dlinear,D3206,daily,pretrain_finetune,2.8535192617512384,2.826215121821554,236.68706995895087,56020.7690857533,188.49217354910712,0.5821719906387162
dlinear,D3206,daily,from_scratch,2.6817161627854773,2.6537207363470103,226.0980993270207,51120.350519291314,177.2402971540178,0.5474197398899956
dlinear,D3250,daily,pretrain_finetune,3.742883965012393,3.6557267005400393,267.88968182099376,71764.88162615328,236.8511397384823,1.0847263984286672
dlinear,D3250,daily,from_scratch,3.8118601969865273,3.7224278796270984,271.6267257769441,73781.07815630319,241.0925476575001,1.1041511187037858
dlinear,D3300,daily,pretrain_finetune,1.5736177005495111,1.5978095745164023,10.707621821244361,114.65316506678839,7.708346399659368,0.24181980924620566
dlinear,D3300,daily,from_scratch,1.6512343206721565,1.6763692811365978,10.925213838824288,119.36029742403774,8.092549629291065,0.253872712279393
dlinear,D3312,daily,pretrain_finetune,1.65062432028679,1.6333008533745148,24.29440131625832,590.217935315414,21.37616838727677,0.7180938621433733
dlinear,D3312,daily,from_scratch,1.6328656066170484,1.6162494269040262,23.765995893069906,564.8225607894157,21.14391985212051,0.7102918910620282
dlinear,D3477,daily,pretrain_finetune,2.5953028050926834,2.5486086265702026,411.3649669099926,169221.1360008593,344.7915318080356,1.1428131322123154
dlinear,D3477,daily,from_scratch,3.172234540407425,3.11216693474155,465.0709787432075,216291.01526916493,419.88270089285703,1.3917031606109462
dlinear,D3541,daily,pretrain_finetune,3.0947533183023133,3.1497690265056937,52.204969773752254,2725.3588690783868,49.27250139508927,0.7139317206539235
dlinear,D3541,daily,from_scratch,2.718472845219056,2.7621060050847253,46.419744060431306,2154.7926386359477,43.1946030970982,0.6258662831992547
dlinear,D3609,daily,pretrain_finetune,4.835731545717348,4.7118071161071375,309.4535736048814,95761.51421683175,296.4823521205357,2.486809252973083
dlinear,D3609,daily,from_scratch,4.420247745126849,4.319447459035312,283.4202159202332,80327.01879227161,271.3206263950893,2.275759887278048
dlinear,D3912,daily,pretrain_finetune,6.249653714203431,6.485512480902564,117.59753801712915,13829.180947690138,109.75349644252232,2.294290545968296
dlinear,D3912,daily,from_scratch,8.443122069594889,8.886317820355218,162.66723211400864,26460.628403632767,150.46577671595983,3.145341334906721
dlinear,D4107,daily,pretrain_finetune,2.0233383793924626,2.0528804103997556,173.52065666515944,30109.41828950814,145.65433175223214,1.128894986822984
