model,series_id,category,strategy,sMAPE,MAPE,RMSE,MSE,MAE,MASE
dlinear,M4124,monthly,pretrain_finetune,34.077350581395415,30.19212409163617,5439.812051356965,29591555.15408847,4040.3889973958335,0.9789253787158122
dlinear,M4124,monthly,from_scratch,46.23462340013902,44.138718029754656,6376.903755696368,40664901.509414434,5380.511664496527,1.303616909720065
dlinear,M4282,monthly,pretrain_finetune,9.822602671586013,9.321412296245148,457.0662707244293,208909.57583393727,408.7632767274306,1.1716110864708846
dlinear,M4282,monthly,from_scratch,12.144643385865196,11.434839673544364,537.7709426201866,289197.58672660403,498.90622106336804,1.4299818329739666
dlinear,M4519,monthly,pretrain_finetune,33.792486611718104,29.02736152081249,4849.045777623601,23513244.95348927,3530.6495822482643,1.327786402434476
dlinear,M4519,monthly,from_scratch,41.15071237879364,32.31334598933457,4886.812745275256,23880938.80738469,3860.9709038628475,1.4520117465409104
dlinear,M6148,monthly,pretrain_finetune,36.903888814691825,47.92013020696106,3606.437148325078,13006388.904819122,3262.0571397569447,2.6534101120158966
dlinear,M6148,monthly,from_scratch,59.39720193960291,89.04181120261256,6434.129991741838,41398028.750631824,6174.220388454862,5.022210865920492
dlinear,M8762,monthly,pretrain_finetune,39.67723087401523,52.029146312104814,641.0635962704438,410962.5344631945,600.3550550672743,1.2256532284682893
dlinear,M8762,monthly,from_scratch,60.46871026303782,90.46890098801528,1108.8429478931141,1229532.6830922912,1070.0828314887153,2.1846246917928642
dlinear,M9667,monthly,pretrain_finetune,38.25381234618476,50.99233198979599,330.69570041281185,109359.64627152019,292.0327555338542,1.129298986799843
dlinear,M9667,monthly,from_scratch,56.59822172359099,84.64352128569783,544.2190207455467,296174.3425412418,506.25716824001734,1.9577108948223192
dlinear,M17796,monthly,pretrain_finetune,23.538569837469815,27.697852751796958,134.2449145056614,18021.697070632337,124.16248575846355,0.34675461480805597
dlinear,M17796,monthly,from_scratch,78.03971672944515,143.7054394232373,694.2833891471603,482029.4244456672,648.987779405382,1.8124597465020467
dlinear,M19315,monthly,pretrain_finetune,39.11258991894028,52.774237072683746,1116.7603425969196,1247153.6627971893,998.749498155382,1.154740799084316
dlinear,M19315,monthly,from_scratch,66.79709145782104,107.4211641930175,2202.548983271637,4851222.023710923,2114.597208658854,2.4448689836420825
dlinear,M20774,monthly,pretrain_finetune,26.98160660875698,35.31028357794878,265.791032302239,70644.87285228985,220.9352010091146,0.39814437108819256
dlinear,M20774,monthly,from_scratch,65.27611476314293,121.75779425414754,925.8462004032995,857191.1868012266,797.8079562717014,1.4377190486085039
dlinear,M21055,monthly,pretrain_finetune,6.623074892978536,6.905071535082091,113.02269744311776,12774.130137318538,102.35376654730902,1.2841268569638595
