step,value
0,4535.0
1,4535.0
2,4600.0
3,4610.0
4,4630.0
5,4650.0
6,4600.0
7,4590.0
8,4560.0
9,4542.0
10,4497.0
11,4430.0
12,4450.0
13,4460.0
14,4470.0
15,4410.0
16,4440.0
17,4445.0
18,4430.0
19,4450.0
20,4455.0
21,4442.0
22,4445.0
23,4447.0
24,4445.0
25,4465.0
26,4465.0
27,4465.0
28,4470.0
29,4495.0
30,4500.0
31,4527.0
32,4527.0
33,4515.0
34,4530.0
35,4535.0
36,4530.0
37,4525.0
38,4495.0
39,4545.0
40,4537.0
41,4525.0
42,4530.0
43,4510.0
44,4490.0
45,4480.0
46,4440.0
47,4487.0
48,4470.0
49,4470.0
50,4520.0
51,4520.0
52,4510.0
53,4505.0
54,4490.0
55,4490.0
56,4500.0
57,4477.0
58,4480.0
59,4487.0
60,4450.0
61,4440.0
62,4455.0
63,4435.0
64,4430.0
65,4460.0
66,4440.0
67,4440.0
68,4420.0
69,4400.0
70,4420.0
71,4390.0
72,4400.0
73,4390.0
74,4370.0
75,4385.0
76,4440.0
77,4430.0
78,4415.0
79,4450.0
80,4440.0
81,4400.0
82,4465.0
83,4445.0
84,4430.0
85,4415.0
86,4427.0
87,4430.0
88,4440.0
89,4442.0
90,4410.0
91,4410.0
92,4355.0
93,4345.0
94,4335.0
95,4360.0
96,4285.0
97,4290.0
98,4340.0
99,4375.0
100,4385.0
101,4370.0
102,4350.0
103,4340.0
104,4325.0
105,4330.0
106,4330.0
107,4310.0
108,4265.0
109,4235.0
110,4225.0
111,4190.0
112,4180.0
113,4280.0
114,4235.0
115,4250.0
116,4290.0
117,4300.0
118,4290.0
119,4250.0
120,4235.0
121,4250.0
122,4265.0
123,4225.0
124,4250.0
125,4242.0
126,4250.0
127,4265.0
128,4260.0
129,4262.0
130,4305.0
131,4295.0
132,4300.0
133,4320.0
134,4335.0
135,4370.0
136,4405.0
137,4470.0
138,4515.0
139,4480.0
140,4460.0
141,4437.0
142,4442.0
143,4450.0
144,4465.0
145,4442.0
146,4432.0
147,4342.0
148,4310.0
149,4270.0
150,4280.0
151,4292.0
152,4355.0
153,4310.0
154,4340.0
155,4357.0
156,4360.0
157,4382.0
158,4377.0
159,4362.0
160,4372.0
161,4380.0
162,4375.0
163,4390.0
164,4430.0
165,4410.0
166,4420.0
167,4450.0
168,4462.0
169,4412.0
170,4382.0
171,4360.0
172,4215.0
173,4210.0
174,4272.0
175,4307.0
176,4340.0
177,4392.0
178,4382.0
179,4375.0
180,4420.0
181,4430.0
182,4435.0
183,4405.0
184,4375.0
185,4372.0
186,4362.0
187,4365.0
188,4350.0
189,4350.0
190,4377.0
191,4417.0
192,4405.0
193,4370.0
194,4365.0
195,4355.0
196,4375.0
197,4330.0
198,4322.0
199,4387.0
200,4425.0
201,4395.0
202,4372.0
203,4390.0
204,4372.0
205,4350.0
206,4340.0
207,4300.0
208,4280.0
209,4275.0
210,4280.0
211,4295.0
212,4300.0
213,4262.0
214,4247.0
215,4250.0
216,4275.0
217,4265.0
218,4280.0
219,4210.0
220,4210.0
221,4210.0
222,4200.0
223,4212.0
224,4247.0
225,4250.0
226,4257.0
227,4265.0
228,4352.0
229,4370.0
230,4385.0
231,4380.0
232,4370.0
233,4380.0
234,4395.0
235,4395.0
236,4415.0
237,4355.0
238,4372.0
239,4350.0
240,4345.0
241,4295.0
242,4270.0
243,4280.0
244,4270.0
245,4262.0
246,4265.0
247,4287.0
248,4367.0
249,4370.0
250,4315.0
251,4305.0
252,4340.0
253,4295.0
254,4235.0
255,4215.0
256,4247.0
257,4292.0
258,4270.0
259,4320.0
260,4280.0
