step,actual,autoformer_scratch,autoformer_pretrain
0,6995.0,7205.04833984375,6901.6826171875
1,6944.0,7160.08544921875,6889.0830078125
2,6898.0,7147.06982421875,6861.9111328125
3,6873.0,7125.71875,6841.306640625
4,6814.0,7135.841796875,6846.87109375
5,6842.0,7151.400390625,6866.7705078125
6,6816.0,7173.44921875,6878.451171875
7,6809.0,7096.25537109375,6882.791015625
8,6802.0,7116.28076171875,6896.3740234375
9,6805.0,7108.7490234375,6916.9228515625
10,6834.0,7069.37939453125,6935.9580078125
11,6809.0,7066.35107421875,6935.1064453125
12,6878.0,7047.4013671875,6913.16162109375
13,6833.0,7067.2685546875,6893.55615234375
