step,actual,dlinear_scratch,dlinear_pretrain
0,6995.0,7023.6796875,6929.05712890625
1,6944.0,6934.1552734375,6925.1396484375
2,6898.0,7040.36767578125,6917.7041015625
3,6873.0,6911.6318359375,6916.20263671875
4,6814.0,6984.7021484375,6919.37353515625
5,6842.0,7108.62548828125,6930.376953125
6,6816.0,6987.40185546875,6937.5595703125
7,6809.0,6964.51123046875,6942.0224609375
8,6802.0,6910.9619140625,6943.86865234375
9,6805.0,7067.2509765625,6946.3916015625
10,6834.0,7075.5009765625,6948.1669921875
11,6809.0,6950.7646484375,6949.99609375
12,6878.0,7008.1796875,6951.59619140625
13,6833.0,6945.271484375,6947.74853515625
