step,actual,fedformer_scratch,fedformer_pretrain
0,6995.0,7100.77587890625,7084.5615234375
1,6944.0,7104.28564453125,7091.89990234375
2,6898.0,7017.76953125,7093.31982421875
3,6873.0,7039.48193359375,7092.38232421875
4,6814.0,7078.373046875,7090.58740234375
5,6842.0,7146.158203125,7091.232421875
6,6816.0,7111.72900390625,7090.5087890625
7,6809.0,6992.755859375,7083.865234375
8,6802.0,6938.02392578125,7078.9677734375
9,6805.0,6987.3369140625,7075.25537109375
10,6834.0,6978.72265625,7070.37060546875
11,6809.0,6931.47802734375,7064.04248046875
12,6878.0,6906.98583984375,7057.16796875
13,6833.0,6834.0556640625,7050.1396484375
