step,actual,helformer_scratch,helformer_pretrain
0,6995.0,6849.446999453019,6912.656369382772
1,6944.0,6844.72331007747,6905.670757399097
2,6898.0,6860.587020507568,6919.291445076558
3,6873.0,6852.002134902503,6908.398195994444
4,6814.0,6844.465312160496,6898.475741571234
5,6842.0,6830.035559091115,6881.534005509606
6,6816.0,6813.214903791247,6862.285780641983
7,6809.0,6807.086035875034,6854.184456493874
8,6802.0,6802.573291529178,6847.417880601496
9,6805.0,6818.4128775901645,6861.161085793157
10,6834.0,6804.132773323721,6850.66278821988
11,6809.0,6796.242975162327,6841.172785198594
12,6878.0,6781.900921564635,6824.72791015559
13,6833.0,6765.182025425018,6805.960583041698
