step,actual,nbeats_scratch,nbeats_pretrain
0,6995.0,7032.5078125,6994.2626953125
1,6944.0,7065.931640625,7018.75732421875
2,6898.0,7110.830078125,7041.2041015625
3,6873.0,7159.8271484375,7059.9375
4,6814.0,7207.30712890625,7074.83203125
5,6842.0,7237.51171875,7085.22509765625
6,6816.0,7253.00439453125,7093.14501953125
7,6809.0,7241.25,7099.33203125
8,6802.0,7207.02734375,7104.46240234375
9,6805.0,7167.126953125,7109.94140625
10,6834.0,7123.759765625,7113.87255859375
11,6809.0,7100.18701171875,7116.2958984375
12,6878.0,7081.7001953125,7121.99267578125
13,6833.0,7067.6611328125,7127.17041015625
