step,actual,patchtst_scratch,patchtst_pretrain
0,6995.0,7011.13671875,6919.6845703125
1,6944.0,6994.90673828125,6904.7255859375
2,6898.0,7050.28125,6879.5517578125
3,6873.0,7030.19921875,6864.6337890625
4,6814.0,7036.02685546875,6856.01318359375
5,6842.0,7071.1220703125,6854.20703125
6,6816.0,7099.0107421875,6846.74267578125
7,6809.0,7054.31494140625,6843.3310546875
8,6802.0,7092.8544921875,6856.509765625
9,6805.0,7140.8828125,6874.2978515625
10,6834.0,7104.7705078125,6884.6962890625
11,6809.0,7070.8466796875,6890.1298828125
12,6878.0,7112.49267578125,6890.14599609375
13,6833.0,7075.72900390625,6885.7392578125
