step,actual,timesnet_scratch,timesnet_pretrain
0,6995.0,6968.2275390625,6945.5146484375
1,6944.0,7008.587890625,6957.845703125
2,6898.0,7033.71142578125,6971.33447265625
3,6873.0,7084.5732421875,6981.61962890625
4,6814.0,7081.87451171875,6991.7822265625
5,6842.0,7080.255859375,7006.115234375
6,6816.0,7105.63671875,7019.154296875
7,6809.0,7101.75634765625,7027.62646484375
8,6802.0,7095.43896484375,7036.69921875
9,6805.0,7073.5517578125,7052.666015625
10,6834.0,7051.14111328125,7065.92578125
11,6809.0,7007.6181640625,7075.26513671875
12,6878.0,6973.3642578125,7081.67041015625
13,6833.0,6952.08154296875,7089.90087890625
