step,actual,seasonal_naive,dlinear,autoformer,fedformer,patchtst,nbeats,timesnet,helformer,auto_arima,ets
0,1115.0,1126.5,1120.1304931640625,1125.1646728515625,1088.97265625,1120.6700439453125,1119.1429443359375,1119.80712890625,1115.7988909495268,1118.4217153692282,1119.000850090001
1,1108.5,1136.5,1120.812255859375,1124.1011962890625,1088.8372802734375,1123.27490234375,1119.5120849609375,1120.9722900390625,1119.038567392988,1122.6081650314454,1119.000850090001
2,1105.4,1134.9,1121.0938720703125,1121.0823974609375,1088.8441162109375,1120.5439453125,1120.174072265625,1122.8167724609375,1117.8916706415434,1123.1226292922402,1119.000850090001
3,1099.8,1137.5,1119.7529296875,1113.1019287109375,1088.2510986328125,1115.2073974609375,1120.8641357421875,1123.243896484375,1117.4864074415912,1119.3733639595978,1119.000850090001
4,1104.3,1136.5,1117.8203125,1106.861083984375,1087.7451171875,1111.695068359375,1121.2974853515625,1123.2618408203125,1115.36525723085,1118.9156967726246,1119.000850090001
5,1109.5,1127.5,1116.0811767578125,1106.3026123046875,1087.359619140625,1108.22705078125,1121.9691162109375,1123.0535888671875,1114.964869060809,1122.2734297691457,1119.000850090001
6,1121.0,1119.0,1114.543701171875,1106.0069580078125,1089.0760498046875,1107.031982421875,1122.2347412109375,1122.674072265625,1115.764839146259,1122.680552261444,1119.000850090001
7,1118.9,1126.5,1113.510498046875,1104.55859375,1090.7723388671875,1105.415283203125,1121.988037109375,1121.3768310546875,1120.8150828959692,1119.6734664555902,1119.000850090001
8,1110.0,1136.5,1113.455322265625,1105.15966796875,1093.0404052734375,1104.447265625,1121.732421875,1120.820068359375,1123.736630402965,1119.3113227723577,1119.000850090001
9,1107.0,1134.9,1113.82666015625,1107.009765625,1093.7991943359375,1102.32861328125,1121.7967529296875,1119.950439453125,1122.3136318682837,1122.0043773982554,1119.000850090001
10,1098.5,1137.5,1112.3956298828125,1105.930908203125,1095.1837158203125,1099.670166015625,1120.779052734375,1118.187255859375,1121.6892145003694,1122.3264968622977,1119.000850090001
11,1099.5,1136.5,1111.813720703125,1101.1844482421875,1095.224609375,1096.7432861328125,1121.082275390625,1116.502197265625,1119.3355745780784,1119.914680791232,1119.000850090001
12,1101.0,1127.5,1110.81298828125,1101.17529296875,1096.048583984375,1094.5709228515625,1119.763427734375,1115.352294921875,1118.7414928954863,1119.628175273885,1119.000850090001
13,1088.0,1119.0,1110.823974609375,1104.77734375,1096.8931884765625,1094.4798583984375,1119.1424560546875,1113.724365234375,1119.3770367444513,1121.788121239765,1119.000850090001
