step,value
0,1431.0
1,1411.5
2,1439.5
3,1433.5
4,1447.0
5,1424.0
6,1416.5
7,1426.0
8,1432.5
9,1426.5
10,1452.5
11,1476.5
12,1478.0
13,1486.0
14,1504.0
15,1503.5
16,1483.5
17,1467.5
18,1432.0
19,1447.0
20,1399.5
21,1386.5
22,1405.5
23,1407.5
24,1443.0
25,1446.0
26,1452.5
27,1445.0
28,1446.5
29,1437.5
30,1429.5
31,1435.5
32,1441.0
33,1425.5
34,1442.0
35,1434.5
36,1430.0
37,1420.5
38,1417.5
39,1405.5
40,1413.5
41,1428.5
42,1443.0
43,1421.0
44,1407.0
45,1413.0
46,1408.5
47,1394.0
48,1415.0
49,1435.0
50,1452.5
51,1464.0
52,1461.5
53,1470.0
54,1467.5
55,1501.5
56,1502.5
57,1513.0
58,1512.5
59,1516.5
60,1513.0
61,1498.0
62,1490.5
63,1481.5
64,1495.5
65,1484.5
66,1491.0
67,1506.0
68,1528.0
69,1533.5
70,1522.5
71,1524.5
72,1524.0
73,1521.5
74,1504.5
75,1507.0
76,1531.5
77,1531.5
78,1535.0
79,1521.5
80,1516.0
81,1525.5
82,1502.0
83,1508.0
84,1524.5
85,1530.0
86,1534.5
87,1516.0
88,1523.0
89,1518.0
90,1526.0
91,1526.0
92,1524.0
93,1533.0
94,1547.0
95,1550.5
96,1567.0
97,1539.5
98,1532.0
99,1541.5
100,1513.5
101,1498.5
102,1491.5
103,1491.5
104,1505.0
105,1502.0
106,1521.0
107,1524.0
108,1521.5
109,1532.5
110,1540.5
111,1546.5
112,1555.5
113,1545.0
114,1549.5
115,1544.5
116,1538.0
117,1530.5
118,1535.0
119,1566.5
120,1561.5
121,1561.5
122,1559.0
123,1571.0
124,1557.5
125,1583.5
126,1581.5
127,1581.0
128,1582.0
129,1589.0
130,1596.0
131,1612.5
132,1619.0
133,1608.0
134,1601.5
135,1624.0
136,1610.5
137,1634.5
138,1624.5
139,1618.0
140,1585.0
141,1556.5
142,1589.0
143,1576.0
144,1550.0
145,1567.5
146,1528.5
147,1504.5
148,1481.5
149,1491.5
150,1465.0
151,1466.5
152,1486.0
153,1509.5
154,1505.5
155,1508.5
156,1534.0
157,1541.0
158,1529.0
159,1540.5
160,1564.5
161,1576.0
162,1700.5
163,1732.0
164,1692.0
165,1705.0
166,1692.5
167,1675.5
168,1690.0
169,1720.5
170,1723.5
171,1739.0
172,1746.5
173,1717.5
174,1740.0
175,1742.0
176,1723.0
177,1738.0
178,1746.5
179,1739.0
180,1732.5
181,1744.5
182,1752.0
183,1776.0
184,1789.5
185,1784.5
186,1803.5
187,1773.5
188,1761.0
189,1715.0
190,1729.0
191,1704.5
192,1661.5
193,1647.0
194,1709.0
195,1744.5
196,1760.5
197,1767.5
198,1776.0
199,1773.5
200,1783.0
201,1765.0
202,1722.0
203,1729.5
204,1700.0
205,1664.0
206,1692.0
207,1726.5
208,1682.5
209,1679.5
210,1685.0
211,1668.5
212,1671.0
213,1698.5
214,1730.0
215,1725.0
216,1747.0
217,1732.0
218,1757.5
219,1754.5
220,1774.0
221,1741.0
222,1754.5
223,1748.0
224,1747.0
225,1764.0
226,1772.0
227,1749.0
228,1773.0
229,1792.0
230,1783.5
231,1796.5
232,1800.5
233,1816.0
234,1827.5
235,1844.0
236,1840.5
237,1857.5
238,1854.0
239,1878.5
240,1878.0
241,1885.0
242,1864.5
243,1861.0
244,1877.5
245,1878.0
246,1878.0
247,1846.0
248,1870.5
249,1912.5
250,1921.0
251,1933.0
252,1938.0
253,1939.5
254,1938.5
255,1957.5
256,1964.5
257,1961.5
258,1947.5
259,1931.0
260,1936.5
261,1959.0
262,1922.0
263,1918.5
264,1934.5
265,1958.0
266,1978.0
267,1987.5
268,2008.5
269,2003.5
270,1986.5
271,1991.0
272,1986.0
273,1982.5
274,1957.0
275,1970.0
276,2000.5
277,2025.0
278,2016.5
279,2007.0
280,2006.0
281,1999.0
282,1980.5
283,1941.0
284,1971.5
285,1978.5
286,1936.5
287,1934.0
288,1938.0
289,1965.5
290,1959.5
291,1953.0
292,1963.5
293,1969.0
294,1979.5
295,2000.5
296,2014.5
297,2027.5
298,2024.5
